QWKM01000001.1	contig_1
QWKM01000002.1	contig_10
QWKM01000003.1	contig_100
QWKM01000004.1	contig_101
QWKM01000005.1	contig_102
QWKM01000006.1	contig_103
QWKM01000007.1	contig_104
QWKM01000008.1	contig_105
QWKM01000009.1	contig_107
QWKM01000010.1	contig_108
QWKM01000011.1	contig_11
QWKM01000012.1	contig_110
QWKM01000013.1	contig_111
QWKM01000014.1	contig_112
QWKM01000015.1	contig_114
QWKM01000016.1	contig_115
QWKM01000017.1	contig_116
QWKM01000018.1	contig_117
QWKM01000019.1	contig_119
QWKM01000020.1	contig_12
QWKM01000021.1	contig_120
QWKM01000022.1	contig_121
QWKM01000023.1	contig_122
QWKM01000024.1	contig_123
QWKM01000025.1	contig_126
QWKM01000026.1	contig_129
QWKM01000027.1	contig_13
QWKM01000028.1	contig_130
QWKM01000029.1	contig_133
QWKM01000030.1	contig_134
QWKM01000031.1	contig_135
QWKM01000032.1	contig_136
QWKM01000033.1	contig_137
QWKM01000034.1	contig_138
QWKM01000035.1	contig_139
QWKM01000036.1	contig_140
QWKM01000037.1	contig_141
QWKM01000038.1	contig_142
QWKM01000039.1	contig_143
QWKM01000040.1	contig_144
QWKM01000041.1	contig_145
QWKM01000042.1	contig_146
QWKM01000043.1	contig_147
QWKM01000044.1	contig_148
QWKM01000045.1	contig_149
QWKM01000046.1	contig_15
QWKM01000047.1	contig_151
QWKM01000048.1	contig_154
QWKM01000049.1	contig_155
QWKM01000050.1	contig_156
QWKM01000051.1	contig_157
QWKM01000052.1	contig_158
QWKM01000053.1	contig_159
QWKM01000054.1	contig_16
QWKM01000055.1	contig_160
QWKM01000056.1	contig_161
QWKM01000057.1	contig_163
QWKM01000058.1	contig_164
QWKM01000059.1	contig_165
QWKM01000060.1	contig_166
QWKM01000061.1	contig_167
QWKM01000062.1	contig_168
QWKM01000063.1	contig_169
QWKM01000064.1	contig_17
QWKM01000065.1	contig_170
QWKM01000066.1	contig_171
QWKM01000067.1	contig_172
QWKM01000068.1	contig_173
QWKM01000069.1	contig_174
QWKM01000070.1	contig_175
QWKM01000071.1	contig_176
QWKM01000072.1	contig_177
QWKM01000073.1	contig_178
QWKM01000074.1	contig_179
QWKM01000075.1	contig_180
