"","gene_id_bf","gene_id_af","family"
"2","AC149475.2_FG005","Zm00001d048404","C2H2"
"3","AC149818.2_FG008","Zm00001d048400","C2H2"
"4","AC149818.2_FG009","Zm00001d048401","LBD"
"5","AC149829.2_FG004","Zm00001d048309","bHLH"
"6","AC155434.2_FG005","Zm00001d022526","G2-like"
"7","AC155434.2_FG006","Zm00001d022525","Dof"
"8","AC165171.2_FG002","Zm00001d041958","WRKY"
"9","AC165178.2_FG004","Zm00001d005760","MYB"
"10","AC177924.2_FG001","Zm00001d003964","bHLH"
"11","AC183950.2_FG002","Zm00001d012094","C2H2"
"12","AC184831.3_FG005","Zm00001d053940","GATA"
"13","AC184831.3_FG008","Zm00001d053943","GATA"
"14","AC185108.3_FG011","Zm00001d022002","C2H2"
"15","AC185655.3_FG004","Zm00001d003341","C2H2"
"16","AC185655.3_FG005","Zm00001d003342","C2H2"
"17","AC186606.4_FG003","Zm00001d031272","bZIP"
"18","AC187157.4_FG001","Zm00001d008872","ERF"
"19","AC187157.4_FG005","Zm00001d008869","HD-ZIP"
"20","AC190609.3_FG001","Zm00001d052717","bZIP"
"21","AC190734.2_FG003","Zm00001d013467","TCP"
"22","AC193630.3_FG003","Zm00001d045374","WRKY"
"23","AC193767.3_FG003","Zm00001d026694","B3"
"24","AC193786.3_FG005","Zm00001d011847","bHLH"
"25","AC194362.3_FG003","Zm00001d044680","WRKY"
"26","AC194965.4_FG004","Zm00001d037605","GATA"
"27","AC194970.5_FG002","Zm00001d006677","BES1"
"28","AC194972.2_FG001","Zm00001d044014","C2H2"
"29","AC196475.3_FG005","Zm00001d049540","NAC"
"30","AC197146.3_FG002","Zm00001d023282","MYB"
"31","AC198081.2_FG005","Zm00001d020427","C2H2"
"32","AC198366.3_FG004","Zm00001d023248","GRAS"
"33","AC198403.3_FG001","Zm00001d048991","ERF"
"34","AC198506.3_FG001","Zm00001d025666","C2H2"
"35","AC198725.4_FG009","Zm00001d044162","WRKY"
"36","AC198937.4_FG005","Zm00001d050410","NAC"
"37","AC198979.4_FG009","Zm00001d027686","ERF"
"38","AC199571.3_FG004","Zm00001d024894","MYB_related"
"39","AC199782.5_FG003","Zm00001d006165","TCP"
"40","AC199820.4_FG006","Zm00001d006791","MYB_related"
"41","AC200038.4_FG011","Zm00001d028066","ERF"
"42","AC200057.4_FG007","Zm00001d021189","bZIP"
"43","AC202864.3_FG002","Zm00001d038801","GATA"
"44","AC203535.4_FG001","Zm00001d042287","MYB"
"45","AC203535.4_FG002","Zm00001d042288","NAC"
"46","AC203865.3_FG001","Zm00001d041444","CPP"
"47","AC203957.3_FG004","Zm00001d005578","bZIP"
"48","AC204212.4_FG001","Zm00001d017782","MYB_related"
"49","AC204621.4_FG006","Zm00001d048624","GRAS"
"50","AC205471.4_FG003","Zm00001d010811","HSF"
"51","AC205484.3_FG005","Zm00001d050870","NAC"
"52","AC205562.3_FG002","Zm00001d050247","WRKY"
"53","AC205574.3_FG006","Zm00001d039371","TCP"
"54","AC206165.3_FG007","Zm00001d038746","HSF"
"55","AC206217.2_FG006","Zm00001d038379","C2H2"
"56","AC206901.3_FG005","Zm00001d025864","MYB"
"57","AC206951.3_FG016","Zm00001d027928","ERF"
"58","AC206951.3_FG017","Zm00001d027929","ERF"
"59","AC207342.3_FG001","Zm00001d011142","Nin-like"
"60","AC207656.3_FG002","Zm00001d014507","ARF"
"61","AC207888.3_FG009","Zm00001d007919","LBD"
"62","AC208110.2_FG001","Zm00001d026218","WRKY"
"63","AC208663.3_FG002","Zm00001d003080","NAC"
"64","AC209050.3_FG003","Zm00001d036726","WRKY"
"65","AC209257.4_FG006","Zm00001d038446","ERF"
"66","AC209784.3_FG011","Zm00001d042917","Trihelix"
"67","AC209819.3_FG009","Zm00001d010740","Dof"
"68","AC210616.4_FG005","Zm00001d050861","EIL"
"69","AC211478.3_FG004","Zm00001d041886","NAC"
"70","AC211702.2_FG002","Zm00001d006735","C2H2"
"71","AC211756.4_FG001","Zm00001d004995","C2H2"
"72","AC211891.4_FG001","Zm00001d004994","C2H2"
"73","AC212823.4_FG003","Zm00001d016650","M-type_MADS"
