input	0
AC149475.2_FG005	Zm00001d048404
AC149818.2_FG008	Zm00001d048400
AC149818.2_FG009	Zm00001d048401
AC149829.2_FG004	Zm00001d048309
AC155434.2_FG005	Zm00001d022526
AC155434.2_FG006	Zm00001d022525
AC165171.2_FG002	Zm00001d041958
AC165178.2_FG004	Zm00001d005760
AC177924.2_FG001	Zm00001d003964
AC183950.2_FG002	Zm00001d012094
AC184831.3_FG005	Zm00001d053940
AC184831.3_FG008	Zm00001d053943
AC185108.3_FG011	Zm00001d022002
AC185655.3_FG004	Zm00001d003341
AC185655.3_FG005	Zm00001d003342
AC186606.4_FG003	Zm00001d031272
AC187157.4_FG001	Zm00001d008872
AC187157.4_FG005	Zm00001d008869
AC190609.3_FG001	Zm00001d052717
AC190734.2_FG003	Zm00001d013467
AC193630.3_FG003	Zm00001d045374	Zm00001d045375
AC193767.3_FG003	Zm00001d026694
AC193786.3_FG005	Zm00001d011847
AC194362.3_FG003	Zm00001d044680
AC194965.4_FG004	Zm00001d037605
AC194970.5_FG002	Zm00001d006677
AC194972.2_FG001	Zm00001d044014
AC196475.3_FG005	Zm00001d049540
AC197146.3_FG002	Zm00001d023282
AC198081.2_FG005	Zm00001d020427
AC198366.3_FG004	Zm00001d023248
AC198403.3_FG001	Zm00001d048991
AC198506.3_FG001	Zm00001d025666
AC198725.4_FG009	Zm00001d044162
AC198937.4_FG005	Zm00001d050410
AC198979.4_FG009	Zm00001d027686	Zm00001d027687
AC199571.3_FG004	Zm00001d024894	Zm00001d024895
AC199782.5_FG003	Zm00001d006165
AC199820.4_FG006	Zm00001d006791
AC200038.4_FG011	Zm00001d028066
AC200057.4_FG007	Zm00001d021189
AC202864.3_FG002	Zm00001d038801
AC203535.4_FG001	Zm00001d042287
AC203535.4_FG002	Zm00001d042288
AC203865.3_FG001	Zm00001d041444
AC203957.3_FG004	Zm00001d005578
AC204212.4_FG001	Zm00001d017782
AC204621.4_FG006	Zm00001d048624
AC205471.4_FG003	Zm00001d010811	Zm00001d010812
AC205484.3_FG005	Zm00001d050870
AC205562.3_FG002	Zm00001d050247
AC205574.3_FG006	Zm00001d039371
AC206165.3_FG007	Zm00001d038746
AC206217.2_FG006	Zm00001d038379
AC206901.3_FG005	Zm00001d025864
AC206951.3_FG016	Zm00001d027928
AC206951.3_FG017	Zm00001d027929
AC207342.3_FG001	Zm00001d011142
AC207656.3_FG002	Zm00001d014507
AC207888.3_FG009	Zm00001d007919
AC208110.2_FG001	Zm00001d026218
AC208663.3_FG002	Zm00001d003080
AC209050.3_FG003	Zm00001d036726
AC209257.4_FG006	Zm00001d038446
AC209784.3_FG011	Zm00001d042917
AC209819.3_FG009	Zm00001d010740
AC210616.4_FG005	Zm00001d050861
AC211478.3_FG004	Zm00001d041886
AC211702.2_FG002	Zm00001d006735
AC211756.4_FG001	Zm00001d004995
AC211891.4_FG001	Zm00001d004994
AC212823.4_FG003	Zm00001d016650
AC212859.3_FG008	Zm00001d002934
AC213524.3_FG003	Zm00001d031597
AC213666.3_FG003	Zm00001d049309
AC213884.3_FG002	Zm00001d037994
AC214168.3_FG001	Zm00001d003755
AC214648.3_FG005	Zm00001d010978
AC215290.3_FG002	Zm00001d003335
AC216247.3_FG001	Zm00001d029270
AC216731.3_FG001	Zm00001d017804
AC217264.3_FG005	Zm00001d033075
AC217910.3_FG006	Zm00001d032286
AC218973.3_FG003	Zm00001d041205
AC219020.4_FG002	Zm00001d037015
AC232238.2_FG004	Zm00001d012294	Zm00001d012295
AC233751.1_FG002	Zm00001d049824
AC233850.1_FG005	Zm00001d016737
AC233853.1_FG002	Zm00001d039383
AC233865.1_FG003	Zm00001d021424
AC233880.1_FG006	Zm00001d039250
AC233888.1_FG002	Zm00001d025770
AC233899.1_FG002	Zm00001d048229
AC233899.1_FG004	Zm00001d048227
AC233912.1_FG001	Zm00001d019187	Zm00001d019188	Zm00001d019189
AC233933.1_FG001	Zm00001d019475
AC233935.1_FG005	Zm00001d028625
AC233943.1_FG002	Zm00001d039694
AC233950.1_FG002	Zm00001d033673
AC233952.1_FG008	Zm00001d006768
AC233960.1_FG003	Zm00001d017726
AC233960.1_FG005	Zm00001d017724
AC234149.1_FG002	Zm00001d010749
AC234155.1_FG002	Zm00001d010634
AC234164.1_FG004	Zm00001d045507
AC234185.1_FG006	Zm00001d009628
AC234203.1_FG011	Zm00001d031445
AC234520.1_FG003	Zm00001d030891
AC234521.1_FG006	Zm00001d002818
AC234522.1_FG009	Zm00001d014345
AC235534.1_FG007	Zm00001d026088
AF546187.1_FG012	Zm00001d030858
EF517601.1_FG010	Zm00001d040254
GRMZM2G000103	Zm00001d043884
